ma_nganh,ten_nganh,to_hop,mon
7220201,Ngôn ngữ Anh,D14,"Ngữ Văn, Tiếng Anh, Lịch sử"
7220201,Ngôn ngữ Anh,D09,"Toán học , Lịch sử, Tiếng Anh"
7220201,Ngôn ngữ Anh,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7220201,Ngôn ngữ Anh,A01,"Toán học, Vật Lý, Tiếng Anh"
7220204,Ngôn ngữ Trung Quốc,D14,"Ngữ Văn, Tiếng Anh, Lịch sử"
7220204,Ngôn ngữ Trung Quốc,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7220204,Ngôn ngữ Trung Quốc,A01,"Toán học, Vật Lý, Tiếng Anh"
7220204,Ngôn ngữ Trung Quốc,D09,"Toán học , Lịch sử, Tiếng Anh"
7340101,Quản trị kinh doanh,C01,"Ngữ văn, Toán học, Vật Lý"
7340101,Quản trị kinh doanh,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340101,Quản trị kinh doanh,A00,"Toán học, Vật Lý, Hóa học"
7340101,Quản trị kinh doanh,A01,"Toán học, Vật Lý, Tiếng Anh"
7340115,Marketing,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340115,Marketing,A00,"Toán học, Vật Lý, Hóa học"
7340115,Marketing,A01,"Toán học, Vật Lý, Tiếng Anh"
7340115,Marketing,C01,"Ngữ văn, Toán học, Vật Lý"
7340120,Kinh doanh quốc tế,A00,"Toán học, Vật Lý, Hóa học"
7340120,Kinh doanh quốc tế,A01,"Toán học, Vật Lý, Tiếng Anh"
7340120,Kinh doanh quốc tế,C01,"Ngữ văn, Toán học, Vật Lý"
7340120,Kinh doanh quốc tế,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340122,Thương mại điện tử,A00,"Toán học, Vật Lý, Hóa học"
7340122,Thương mại điện tử,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340122,Thương mại điện tử,C01,"Ngữ văn, Toán học, Vật Lý"
7340122,Thương mại điện tử,A01,"Toán học, Vật Lý, Tiếng Anh"
7340123,Kinh doanh thời trang và Dệt may,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340123,Kinh doanh thời trang và Dệt may,C01,"Ngữ văn, Toán học, Vật Lý"
7340123,Kinh doanh thời trang và Dệt may,A01,"Toán học, Vật Lý, Tiếng Anh"
7340123,Kinh doanh thời trang và Dệt may,A00,"Toán học, Vật Lý, Hóa học"
7340129,Quản trị kinh doanh thực phẩm,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340129,Quản trị kinh doanh thực phẩm,D07,"Toán học, Hóa học, Tiếng Anh"
7340129,Quản trị kinh doanh thực phẩm,B00,"Toán học, Hóa học, Sinh học"
7340129,Quản trị kinh doanh thực phẩm,C02,"Ngữ văn, Toán học, Hóa học"
7340201,Tài chính ngân hàng,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340201,Tài chính ngân hàng,C01,"Ngữ văn, Toán học, Vật Lý"
7340201,Tài chính ngân hàng,A01,"Toán học, Vật Lý, Tiếng Anh"
7340201,Tài chính ngân hàng,A00,"Toán học, Vật Lý, Hóa học"
7340205,Công nghệ tài chính,A00,"Toán học, Vật Lý, Hóa học"
7340205,Công nghệ tài chính,C01,"Ngữ văn, Toán học, Vật Lý"
7340205,Công nghệ tài chính,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340205,Công nghệ tài chính,A01,"Toán học, Vật Lý, Tiếng Anh"
7340301,Kế toán,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7340301,Kế toán,C01,"Ngữ văn, Toán học, Vật Lý"
7340301,Kế toán,A01,"Toán học, Vật Lý, Tiếng Anh"
7340301,Kế toán,A00,"Toán học, Vật Lý, Hóa học"
7380101,Luật,C14,"Toán học, Ngữ Văn, Giáo dục Kinh tế & pháp luật"
7380101,Luật,C03,"Ngữ văn, Toán học, Lịch sử"
7380101,Luật,C00,"Ngữ văn, Lịch sử, Địa lý"
7380101,Luật,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7380107,Luật kinh tế,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7380107,Luật kinh tế,C14,"Toán học, Ngữ Văn, Giáo dục Kinh tế & pháp luật"
7380107,Luật kinh tế,C03,"Ngữ văn, Toán học, Lịch sử"
7380107,Luật kinh tế,C00,"Ngữ văn, Lịch sử, Địa lý"
7420201,Công nghệ sinh học,A00,"Toán học, Vật Lý, Hóa học"
7420201,Công nghệ sinh học,B08,"Toán học, Sinh học, Tiếng Anh"
7420201,Công nghệ sinh học,D07,"Toán học, Hóa học, Tiếng Anh"
7420201,Công nghệ sinh học,B00,"Toán học, Hóa học, Sinh học"
7460108,Khoa học dữ liệu,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7460108,Khoa học dữ liệu,K01,"Toán học, Anh văn, Tin học"
7460108,Khoa học dữ liệu,C01,"Ngữ văn, Toán học, Vật Lý"
7460108,Khoa học dữ liệu,A00,"Toán học, Vật Lý, Hóa học"
7480201,Công nghệ thông tin,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7480201,Công nghệ thông tin,C01,"Ngữ văn, Toán học, Vật Lý"
7480201,Công nghệ thông tin,A00,"Toán học, Vật Lý, Hóa học"
7480201,Công nghệ thông tin,K01,"Toán học, Anh văn, Tin học"
7480202,An toàn thông tin,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7480202,An toàn thông tin,K01,"Toán học, Anh văn, Tin học"
7480202,An toàn thông tin,A00,"Toán học, Vật Lý, Hóa học"
7480202,An toàn thông tin,C01,"Ngữ văn, Toán học, Vật Lý"
7510202,Công nghệ chế tạo máy,C01,"Ngữ văn, Toán học, Vật Lý"
7510202,Công nghệ chế tạo máy,A01,"Toán học, Vật Lý, Tiếng Anh"
7510202,Công nghệ chế tạo máy,A00,"Toán học, Vật Lý, Hóa học"
7510202,Công nghệ chế tạo máy,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7510203,Công nghệ kỹ thuật cơ điện tử,A01,"Toán học, Vật Lý, Tiếng Anh"
7510203,Công nghệ kỹ thuật cơ điện tử,C01,"Ngữ văn, Toán học, Vật Lý"
7510203,Công nghệ kỹ thuật cơ điện tử,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7510203,Công nghệ kỹ thuật cơ điện tử,A00,"Toán học, Vật Lý, Hóa học"
7510301,Công nghệ kỹ thuật Điện - Điện tử,A00,"Toán học, Vật Lý, Hóa học"
7510301,Công nghệ kỹ thuật Điện - Điện tử,A01,"Toán học, Vật Lý, Tiếng Anh"
7510301,Công nghệ kỹ thuật Điện - Điện tử,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7510301,Công nghệ kỹ thuật Điện - Điện tử,C01,"Ngữ văn, Toán học, Vật Lý"
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,A00,"Toán học, Vật Lý, Hóa học"
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,A01,"Toán học, Vật Lý, Tiếng Anh"
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,C01,"Ngữ văn, Toán học, Vật Lý"
7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7510401,Công nghệ kỹ thuật hóa học,B08,"Toán học, Sinh học, Tiếng Anh"
7510401,Công nghệ kỹ thuật hóa học,A00,"Toán học, Vật Lý, Hóa học"
7510401,Công nghệ kỹ thuật hóa học,B00,"Toán học, Hóa học, Sinh học"
7510401,Công nghệ kỹ thuật hóa học,D07,"Toán học, Hóa học, Tiếng Anh"
7510402,Công nghệ vật liệu,B08,"Toán học, Sinh học, Tiếng Anh"
7510402,Công nghệ vật liệu,B00,"Toán học, Hóa học, Sinh học"
7510402,Công nghệ vật liệu,A00,"Toán học, Vật Lý, Hóa học"
7510402,Công nghệ vật liệu,D07,"Toán học, Hóa học, Tiếng Anh"
7510406,Công nghệ kỹ thuật môi trường,D07,"Toán học, Hóa học, Tiếng Anh"
7510406,Công nghệ kỹ thuật môi trường,B00,"Toán học, Hóa học, Sinh học"
7510406,Công nghệ kỹ thuật môi trường,A00,"Toán học, Vật Lý, Hóa học"
7510406,Công nghệ kỹ thuật môi trường,A01,"Toán học, Vật Lý, Tiếng Anh"
7510605,Logistic và quản lý chuỗi cung ứng,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7510605,Logistic và quản lý chuỗi cung ứng,C01,"Ngữ văn, Toán học, Vật Lý"
7510605,Logistic và quản lý chuỗi cung ứng,A01,"Toán học, Vật Lý, Tiếng Anh"
7510605,Logistic và quản lý chuỗi cung ứng,A00,"Toán học, Vật Lý, Hóa học"
7520115,Kỹ thuật nhiệt,A01,"Toán học, Vật Lý, Tiếng Anh"
7520115,Kỹ thuật nhiệt,C01,"Ngữ văn, Toán học, Vật Lý"
7520115,Kỹ thuật nhiệt,A00,"Toán học, Vật Lý, Hóa học"
7520115,Kỹ thuật nhiệt,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7540101,Công nghệ thực phẩm,B00,"Toán học, Hóa học, Sinh học"
7540101,Công nghệ thực phẩm,B08,"Toán học, Sinh học, Tiếng Anh"
7540101,Công nghệ thực phẩm,D07,"Toán học, Hóa học, Tiếng Anh"
7540101,Công nghệ thực phẩm,A00,"Toán học, Vật Lý, Hóa học"
7540105,Công nghệ chế biến thủy sản,A00,"Toán học, Vật Lý, Hóa học"
7540105,Công nghệ chế biến thủy sản,B00,"Toán học, Hóa học, Sinh học"
7540105,Công nghệ chế biến thủy sản,B08,"Toán học, Sinh học, Tiếng Anh"
7540105,Công nghệ chế biến thủy sản,D07,"Toán học, Hóa học, Tiếng Anh"
7540106,Đảm bảo chất lượng & ATTP,D07,"Toán học, Hóa học, Tiếng Anh"
7540106,Đảm bảo chất lượng & ATTP,B08,"Toán học, Sinh học, Tiếng Anh"
7540106,Đảm bảo chất lượng & ATTP,A00,"Toán học, Vật Lý, Hóa học"
7540106,Đảm bảo chất lượng & ATTP,B00,"Toán học, Hóa học, Sinh học"
7540204,"Công nghệ dệt, may",C01,"Ngữ văn, Toán học, Vật Lý"
7540204,"Công nghệ dệt, may",D01,"Toán học, Ngữ Văn , Tiếng Anh"
7540204,"Công nghệ dệt, may",A01,"Toán học, Vật Lý, Tiếng Anh"
7540204,"Công nghệ dệt, may",A00,"Toán học, Vật Lý, Hóa học"
7810101,Du lịch,D15,"Ngữ Văn, Tiếng Anh, Địa lý"
7810101,Du lịch,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7810101,Du lịch,C03,"Ngữ văn, Toán học, Lịch sử"
7810101,Du lịch,C00,"Ngữ văn, Lịch sử, Địa lý"
7810103,Quản trị dịch vụ du lịch và lữ hành,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7810103,Quản trị dịch vụ du lịch và lữ hành,D15,"Ngữ Văn, Tiếng Anh, Địa lý"
7810103,Quản trị dịch vụ du lịch và lữ hành,C00,"Ngữ văn, Lịch sử, Địa lý"
7810103,Quản trị dịch vụ du lịch và lữ hành,C03,"Ngữ văn, Toán học, Lịch sử"
7810110,Khoa học chế biến món ăn,A01,"Toán học, Vật Lý, Tiếng Anh"
7810110,Khoa học chế biến món ăn,D07,"Toán học, Hóa học, Tiếng Anh"
7810110,Khoa học chế biến món ăn,B00,"Toán học, Hóa học, Sinh học"
7810110,Khoa học chế biến món ăn,C02,"Ngữ văn, Toán học, Hóa học"
7810201,Quản trị khách sạn,C00,"Ngữ văn, Lịch sử, Địa lý"
7810201,Quản trị khách sạn,C03,"Ngữ văn, Toán học, Lịch sử"
7810201,Quản trị khách sạn,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7810201,Quản trị khách sạn,D15,"Ngữ Văn, Tiếng Anh, Địa lý"
7810202,Quản trị nhà hàng và dịch vụ ăn uống,C03,"Ngữ văn, Toán học, Lịch sử"
7810202,Quản trị nhà hàng và dịch vụ ăn uống,D01,"Toán học, Ngữ Văn , Tiếng Anh"
7810202,Quản trị nhà hàng và dịch vụ ăn uống,D15,"Ngữ Văn, Tiếng Anh, Địa lý"
7810202,Quản trị nhà hàng và dịch vụ ăn uống,C00,"Ngữ văn, Lịch sử, Địa lý"
7819009,Khoa học dinh dưỡng và ẩm thực,C02,"Ngữ văn, Toán học, Hóa học"
7819009,Khoa học dinh dưỡng và ẩm thực,B00,"Toán học, Hóa học, Sinh học"
7819009,Khoa học dinh dưỡng và ẩm thực,A01,"Toán học, Vật Lý, Tiếng Anh"
7819009,Khoa học dinh dưỡng và ẩm thực,D07,"Toán học, Hóa học, Tiếng Anh"
7850101,Quản lý tài nguyên và môi trường,D07,"Toán học, Hóa học, Tiếng Anh"
7850101,Quản lý tài nguyên và môi trường,B00,"Toán học, Hóa học, Sinh học"
7850101,Quản lý tài nguyên và môi trường,A01,"Toán học, Vật Lý, Tiếng Anh"
7850101,Quản lý tài nguyên và môi trường,A00,"Toán học, Vật Lý, Hóa học"
